date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,drop_this
2015/09/09,817.19298,526.0,894429.0,9e-05,1343.0,0.0,15482.83675,
2015/09/10,1193.403848,532.0,813119.0,9.1e-05,2545.0,0.0,15431.989372,
2015/09/11,2040.88758,533.0,819178.0,9.4e-05,590.0,0.0,15745.840086,
2015/09/12,357.814905,474.0,848764.0,8.7e-05,233.0,0.0,13428.798864,
2015/09/13,222.04917,355.0,783983.0,9e-05,659.0,0.0,9910.600038,
2015/09/14,1067.004,538.0,809995.0,9e-05,95.0,0.0,15967.590091,
2015/09/15,838.908081,538.0,809295.0,9.9e-05,2995.0,0.0,15560.374274,
2015/09/16,2350.897892,531.0,887120.0,0.000106,10004.0,0.0,15142.569617,
2015/09/17,11166.968448,581.0,954054.0,0.000108,5428.0,0.0,18358.507412,
2015/09/18,1525.3891,413.0,973827.0,0.0001,1354.0,0.0,12211.984218,
2015/09/19,220.530222,542.0,902358.0,0.000102,1440.0,0.0,15066.003577,
2015/09/20,413.4563,551.0,916605.0,0.0001,1250.0,0.0,15050.927766,
2015/09/21,1057.934718,550.0,897869.0,0.000102,3745.0,0.0,14931.57573,
2015/09/22,696.44679,542.0,918909.0,0.00013,7599.0,0.0,15462.195708,
2015/09/23,1606.70808,581.0,1166180.0,0.00012,1843.0,0.0,16126.083639,
2015/09/24,1200.716116,569.0,1081340.0,0.000116,987.0,0.0,16103.539201,
2015/09/25,343.734254,551.0,1046760.0,0.000134,1853.0,0.0,14925.36645,
2015/09/26,2387.727568,463.0,1208870.0,0.000131,2186.0,0.0,13026.76421,
2015/09/27,1310.99826,434.0,1180660.0,0.00013,1636.0,0.0,12200.390525,
2015/09/28,2018.439989,582.0,1188700.0,0.000139,1641.0,0.0,16196.172832,
2015/09/29,1153.278625,558.0,1248540.0,0.000149,9728.0,0.0,15168.773606,
2015/09/30,14595.727799,546.0,1338340.0,0.000151,5864.0,0.0,19662.758868,
2015/10/01,7240.32435,578.0,1358740.0,0.000175,11660.0,0.0,16615.009784,
2015/10/02,11387.98507,398.0,1574540.0,0.000149,6645.0,0.0,15112.439979,
2015/10/03,9651.905131,404.0,1338390.0,0.000127,5007.0,0.0,12283.457333,
2015/10/04,2282.513494,573.0,1140040.0,0.000122,1783.0,0.0,16304.357053,
2015/10/05,1344.417732,580.0,1098070.0,0.000119,1640.0,0.0,15827.798925,
2015/10/06,1223.889975,516.0,1070640.0,0.000123,1030.0,0.0,13946.454817,
2015/10/07,2612.04252,566.0,1111120.0,0.000136,1230.0,0.0,17484.658722,
2015/10/08,1290.550424,600.0,1223560.0,0.000118,3949.0,0.0,15534.661063,
2015/10/09,263985.471594,593.0,1063210.0,0.000117,1174.0,0.0,17166.608989,
2015/10/10,282.120496,581.0,1052710.0,0.000112,352.0,0.0,15634.972327,
2015/10/11,293.138278,535.0,1009060.0,0.000109,1191.0,0.0,15441.255158,
2015/10/12,146.46645,527.0,977202.0,0.000117,331.0,0.0,14559.886616,
2015/10/13,465.576314,518.0,1054990.0,0.000119,1360.0,0.0,15486.807233,
2015/10/14,750.640756,552.0,1068520.0,0.000116,1192.0,0.0,15680.342207,
2015/10/15,980.410713,529.0,1039470.0,0.000113,2831.0,0.0,14855.051581,
2015/10/16,1586.023335,547.0,1014130.0,0.000117,1009.0,0.0,15568.123592,
2015/10/17,408.59116,541.0,1051960.0,0.000124,3306.0,0.0,14801.547928,
2015/10/18,2083.44738,557.0,1112660.0,0.000124,319.0,0.0,16465.248501,
2015/10/19,386.7615,580.0,1115230.0,0.000108,946.0,0.0,15769.367228,
2015/10/20,803.748114,556.0,974502.0,0.000117,717.0,0.0,15880.801749,
2015/10/21,347.705163,544.0,1052530.0,0.000117,95.0,0.0,15171.702407,
2015/10/22,623.95155,198.0,1055670.0,0.000118,280.0,0.0,5159.701123,
