date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013/10/06,62375106.99,47090.0,1514540000.0,129.0,0.0,5275.0,26.74333909,
2013/10/07,47610920.0801,43632.0,1527760000.0,126.94,0.0,4975.0,21.38243077,
2013/10/08,73130043.4656,42892.0,1496500000.0,126.0,0.0,3750.0,33.20804707,
2013/10/09,86202244.1712,44543.0,1486510000.0,130.69,0.0,4000.0,16.77562844,
2013/10/10,100735278.329,48428.0,1544020000.0,130.59,0.0,4550.0,26.54051455,
2013/10/11,90676758.9272,57252.0,1545600000.0,130.9,0.0,4900.0,28.58793526,
2013/10/12,96227485.6275,52270.0,1547970000.0,135.19,0.0,4425.0,27.71234198,
2013/10/13,86888445.8631,49270.0,1599430000.0,138.13,0.0,4900.0,32.20259509,
2013/10/14,80448988.0971,52011.0,1648470000.0,140.52,0.0,5950.0,31.62979861,
2013/10/15,123913019.098,55826.0,1667100000.0,145.24,0.0,6175.0,25.13719125,
2013/10/16,103427994.385,55534.0,1725840000.0,142.55,0.0,6450.0,46.01328054,
2013/10/17,147296393.406,53616.0,1688200000.0,146.25,0.0,5400.0,37.72362124,
2013/10/18,123669567.814,44086.0,1735750000.0,155.96,0.0,4350.0,38.86465884,
2013/10/19,138802471.277,60291.0,1849630000.0,172.42,0.0,4550.0,45.64097245,
2013/10/20,172814741.577,54878.0,2037440000.0,174.61,0.0,5425.0,36.07952437,
2013/10/21,117151330.93,48096.0,2075580000.0,182.21,0.0,5350.0,27.16583212,
2013/10/22,186617698.44,59490.0,2169750000.0,193.76,0.0,5000.0,38.18320492,
2013/10/23,229800329.353,64935.0,2298160000.0,213.62,0.0,6300.0,41.2506362,
2013/10/24,194460591.254,54171.0,2548230000.0,198.23,0.0,5250.0,36.46873666,
2013/10/25,189592865.363,63551.0,2351780000.0,186.69,0.0,5200.0,49.27202604,
2013/10/26,494283328.525,58679.0,2231070000.0,177.32,0.0,5975.0,46.20242853,
2013/10/27,123371847.798,49112.0,2102730000.0,196.44,0.0,4975.0,53.37810672,
2013/10/28,87305161.3851,43222.0,2337100000.0,198.55,0.0,4450.0,57.37419461,
2013/10/29,119252679.503,49527.0,2365840000.0,204.39,0.0,4400.0,30.67098406,
2013/10/30,318645242.309,50288.0,2436240000.0,199.97,0.0,3875.0,34.47844986,
2013/10/31,136301130.653,48438.0,2382870000.0,204.0,0.0,4900.0,30.20298347,
2013/11/01,123910659.473,57810.0,2432470000.0,206.18,0.0,5300.0,30.01030099,
2013/11/02,120273478.44,45917.0,2456330000.0,206.22,0.0,4800.0,34.53785281,
2013/11/03,103893253.272,40700.0,2459520000.0,215.05,0.0,5475.0,23.7007604,
2013/11/04,104271138.015,35999.0,2564070000.0,229.1,0.0,5000.0,25.64583581,
2013/11/05,186192553.833,42372.0,2738980000.0,245.24,0.0,4725.0,67.6652894,
2013/11/06,249151606.027,51627.0,2926100000.0,262.5,0.0,4325.0,46.92507741,
2013/11/07,237507249.951,54832.0,3129190000.0,296.41,0.0,4150.0,117.99822551,
2013/11/08,331991749.839,58843.0,3562790000.0,338.11,0.0,3700.0,139.79659605,
2013/11/09,332234258.866,59709.0,4051120000.0,339.11,0.0,3350.0,123.07551164,
2013/11/10,271193415.928,56560.0,4174930000.0,326.62,0.0,3525.0,56.25290425,
2013/11/11,225194982.424,57517.0,3896130000.0,342.44,0.0,4300.0,45.70551043,
2013/11/12,207411046.638,54660.0,4109060000.0,360.33,0.0,4775.0,62.08179237,
2013/11/13,365012699.405,58032.0,4325400000.0,407.37,0.0,4750.0,22.5282256,
2013/11/14,397927385.711,60786.0,4871600000.0,420.2,0.0,4525.0,21.52152945,
2013/11/15,440061830.835,73364.0,5029340000.0,417.95,0.0,4425.0,24.63508894,
2013/11/16,929942419.352,61178.0,5005530000.0,440.22,0.0,3975.0,18.00392219,
2013/11/17,810084849.397,49605.0,5291730000.0,492.11,0.0,4875.0,15.05485078,
2013/11/18,690890832.363,48900.0,5961500000.0,703.56,0.0,4925.0,15.45568133,
