date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016/05/06,10329392.9767,38564.0,782261000.0,9.35,21510600.0,31776.25,31.1348114447,
2016/05/07,19186457.9146,41105.0,743166000.0,9.37,10806500.0,31741.40625,35.1748890596,
2016/05/08,14420572.3063,35795.0,748030000.0,9.48,15031000.0,31573.125,24.2278234342,
2016/05/09,13242039.7247,39960.0,758000000.0,9.3,13085300.0,31849.21875,28.9009012759,
2016/05/10,18995847.5338,38421.0,741417000.0,9.36,9321790.0,31801.40625,26.3419338861,
2016/05/11,20681418.23,40566.0,753600000.0,10.0,15267500.0,31700.9375,27.7014495532,
2016/05/12,30718613.6337,40649.0,798952000.0,10.06,24137700.0,31253.125,31.6268258168,
2016/05/13,34330273.9521,44830.0,804647000.0,10.51,31276900.0,32257.03125,39.262539722,
2016/05/14,83248030.171,47587.0,840395000.0,10.24,18808000.0,32196.71875,43.1900099362,
2016/05/15,58913525.2608,45649.0,819399000.0,9.96,9218400.0,31667.8125,35.4513350692,
2016/05/16,16711391.5263,42986.0,798116000.0,11.17,29079900.0,31805.46875,31.3052073619,
2016/05/17,18206018.6816,37150.0,896505000.0,12.2,37198700.0,31514.6875,27.5984398169,
2016/05/18,17945549.6354,40019.0,975878000.0,13.56,65389900.0,32192.1875,28.4667373773,
2016/05/19,26887170.8969,45760.0,1085570000.0,14.77,53757500.0,32404.375,35.0700451096,
